Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Contribution to Provident and Other Funds,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Consumed (Quantity),Fuels Consumed - Electricity Produced (Quantity),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Electricity Sold (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Mandays - Workers,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Old Age Benefits,Other Benefits,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Social Security Benefits,Supervisory and Managerial Staff,Total Emoluments,Total Emoluments including Employers' Contribution,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital,Workmen and Staff Welfare Expenses
1996 - 1997,All India,98.98,195.29,22.68,316.95,,75.14,299.59,,2666.94,,,,450116.0,77144.0,383474.0,10502.0,,,197.8,882.63,565.68,3246.67,,,472.44,,5884.92,7544.96,266.09,2396.41,2947.08,327.247,5395.0,,969.46,818.97,276.168,,,,,,,,,1846.44,128.96,3217.98,6313.4,12210.43,1406.48,78.23,,,,860.97,989.93,10305.22,331.765,,13551.89,,,,594.64,3646.46,53.82
1997 - 1998,All India,14.46,278.78,105.96,399.19,,,375.62,,3275.96,,,,,,,,,,232.97,1078.05,678.87,3192.1,,,509.74,,6781.17,8306.6,303.25,1991.16,2816.48,328.687,4592.0,,,,277.49,,,,,,,,,2243.24,159.33,3505.21,7553.06,13560.66,871.73,315.59,,,,960.07,1119.4,12549.89,331.762,,15741.98,,,,658.99,4277.1,
1998 - 1999,All India,75.76,-4.05,61.58,133.29,76.17,,387.24,49589.0,2912.27,10.0,3.1223,170.9809,,,483533.0,,9.5445,95.4544,279.1,608.8,475.51,3841.86,699.52,1474.55,391.4,,6198.27,8603.56,88.27,2964.66,3454.62,337.005,4870.0,4411.0,1000.11,,287.416,273219.0,0.0,114584.0,158635.0,14198.0,,,26175.0,1801.25,187.82,3285.99,7054.75,14382.81,1779.02,98.56,,,23414.0,997.83,1185.65,12967.09,337.005,,16808.95,106.97,181.21,921.65,633.47,4142.48,
1999 - 2000,All India,95.3,84.7,74.38,254.38,92.68,,561.3,58775.0,4608.22,,,,,,,,,,412.09,1300.14,1045.76,4734.8,1337.77,2103.3,540.22,,8969.1,10685.35,484.47,3530.13,4173.5,359.034,5076.0,4799.0,1072.14,,300.259,282860.0,143.0,116766.0,165951.0,17399.0,,,33162.0,2720.24,221.8,4360.88,9705.21,18034.95,2021.11,103.14,,,25613.0,1287.22,1509.02,16636.53,359.033,,21371.33,160.76,213.24,1194.54,820.54,5096.99,
2000 - 2001,All India,86.54,65.3,153.48,305.32,114.69,,698.24,63080.0,5427.67,10.0,3.1588,251.6774,,,606330.0,,30.572,201.9704,487.39,1509.79,1204.46,5009.34,1345.06,2572.44,599.56,114.91,9663.85,12470.59,506.22,3593.13,4311.1,416.052,5304.0,4960.0,1254.6,,352.972,330842.0,44.0,142032.0,188766.0,22130.0,,,36166.0,3165.27,291.45,4236.18,9728.15,20646.27,1722.27,118.4,38.62,,26914.0,1579.41,1870.86,19170.09,418.535,,24179.43,186.44,284.53,1464.31,993.34,4300.48,
2001 - 2002,All India,57.54,-61.53,73.42,69.43,106.9,,592.84,56907.0,4486.11,42.0,8.476,259.9044,,,597328.0,,28.4694,153.9669,450.82,866.81,797.37,4285.55,975.15,2535.85,479.5,44.45,8240.64,10657.6,204.54,3101.2,3692.71,395.413,4971.0,4708.0,1176.79,,338.506,307985.0,7.0,137052.0,170926.0,30522.0,,,31831.0,3161.4,260.19,3754.52,8029.37,17537.26,1246.88,112.0,30.11,,25076.0,1594.13,1854.32,16018.39,397.895,2481.0,20303.92,181.45,290.67,1487.23,1015.11,3543.26,
2002 - 2003,All India,58.13,184.2,77.55,319.88,127.03,,750.55,64297.0,5260.2,17.0,3.6338,335.334,,,742136.0,,43.1631,208.5541,590.68,1487.04,1167.17,5203.07,1272.27,2651.38,480.15,48.52,9942.0,13941.51,416.62,3849.05,4452.52,422.933,5168.0,4868.0,1265.26,,358.636,334082.0,12.0,150909.0,183161.0,24552.0,,,37324.0,3138.22,302.7,4681.8,10384.57,23304.31,1652.99,123.32,24.2,,26973.0,1893.37,2196.07,21295.4,426.084,3152.0,26498.47,220.11,340.89,1766.31,1205.31,5124.37,
2003 - 2004,All India,61.42,255.12,112.85,429.39,149.44,,833.45,72614.0,6100.96,20.0,4.1333,385.4547,,,834340.0,,49.7707,218.7863,658.15,1843.81,1414.42,5395.65,1652.69,3009.21,538.36,36.02,11085.72,12902.84,580.96,3865.87,4562.2,513.861,5261.0,4995.0,1529.7,,441.247,401028.0,0.0,187979.0,213049.0,40219.0,,,39944.0,3910.94,349.88,4984.75,9835.64,22152.47,1227.86,157.97,28.25,,32670.0,2288.14,2638.02,20530.98,516.486,2623.0,25926.64,243.01,422.48,2138.7,1473.21,3734.68,
2004 - 2005,All India,256.94,536.8,365.79,1159.53,183.95,,1024.21,84435.0,7698.5,31.0,7.3136,469.7899,,,1002573.0,,61.85,308.875,847.83,3153.46,1993.94,7008.36,2177.24,4051.83,605.56,43.03,14152.69,17271.61,969.73,5144.98,5984.14,608.612,5657.0,5391.0,1828.78,,524.177,463765.0,0.0,221467.0,242298.0,60411.0,,,46043.0,5317.56,433.96,6454.2,12174.27,29960.47,1736.45,233.61,46.56,,38392.0,2974.57,3408.53,27889.01,611.305,2694.0,34897.37,305.37,601.49,2790.61,1883.75,4475.77,
2005 - 2006,All India,471.73,587.97,351.36,1411.06,228.09,,1032.27,98762.0,9562.01,56.0,17.0712,577.9134,,,1228454.0,,87.7397,392.9075,1075.63,4300.3,2889.22,8146.72,3205.88,5153.55,758.87,46.66,17085.13,20923.08,1856.94,6079.69,7114.43,712.919,5869.0,5583.0,2130.26,,614.157,533344.0,0.0,259063.0,274281.0,80813.0,,,53709.0,6269.22,530.22,7523.11,13862.52,35116.22,1819.89,275.88,35.79,,45053.0,3729.57,4259.79,32709.42,715.92,2998.0,40856.14,396.42,746.59,3501.47,2358.46,4300.51,
