Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Contribution to Provident and Other Funds,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Consumed (Quantity),Fuels Consumed - Electricity Produced (Quantity),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Electricity Sold (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Mandays - Workers,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Old Age Benefits,Other Benefits,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Social Security Benefits,Supervisory and Managerial Staff,Total Emoluments,Total Emoluments including Employers' Contribution,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital,Workmen and Staff Welfare Expenses
1983 - 1984,All India,,,,,,,,,71.16,,,,76664.0,3263.0,,-359.0,,,8.67,,,,,,27.06,,217.2,448.9,,,,73.387,1835.0,,209.19,171.53,60.187,,,,,,2.66,1.29,,197.31,5.89,146.04,157.74,,,4.53,,1.94,,51.97,,596.39,75.617,,,,,,35.22,86.58,
1984 - 1985,All India,,,,,,,,,81.96,,,,68536.0,3390.0,,86.0,,,8.75,,,,,,30.74,,260.89,552.72,,,,76.305,2205.0,,220.34,181.18,63.584,,,,,,2.64,1.39,,243.86,5.93,178.93,182.44,,,4.88,,1.9,,55.12,,741.28,78.663,,,,,,37.03,100.48,
1985 - 1986,All India,,,,,,,,,99.46,,,,79932.0,4606.0,,258.0,,,12.86,,,,,,39.18,,294.88,746.23,,,,80.814,2064.0,,236.57,199.53,67.421,,,,,,3.2,1.78,,283.62,7.51,195.42,213.97,,,5.98,,2.53,,67.4,,971.53,83.449,,,,,,47.09,114.51,
1986 - 1987,All India,,,,,,,,,113.53,,,,80314.0,4074.0,,0.0,,,12.47,,,,,,37.89,,327.21,774.34,,,,79.401,2077.0,,235.91,194.8,65.809,,,,,,3.53,1.72,,294.79,8.24,213.68,248.38,,,6.9,,2.99,,71.73,,1045.16,81.946,,,,,,49.24,134.85,
1987 - 1988,All India,,,,,,,,,189.81,,,,98345.0,5297.0,,151.0,,,17.38,,,,,,47.98,,482.2,1011.67,,,,99.102,2294.0,,293.39,245.56,82.449,,,,,,4.44,2.62,,380.52,10.67,292.39,335.9,,,8.54,,3.61,,100.08,,1380.27,101.704,,,,,,69.43,146.09,
1988 - 1989,All India,,,,,,10.1,,,201.03,,,,111755.0,10489.0,,286.0,,,22.79,,,,,,52.37,,601.15,1173.47,,,,109.236,2407.0,,324.19,269.72,91.376,,,,,,,,,220.41,16.87,400.12,474.26,,,11.5,,,,122.51,,1623.23,112.188,,,,,,87.52,273.23,6.77
1989 - 1990,All India,,,,,,13.98,,,269.72,,,,162279.0,12293.0,,20.0,,,28.12,,,,,,75.76,,927.85,1768.65,,,,132.556,2488.0,,393.02,328.68,111.431,,,,,,,,,248.54,23.85,658.13,696.11,,,13.67,,,,163.44,,2420.96,135.597,,,,,,115.8,426.39,9.87
1990 - 1991,All India,,,,,,17.86,,,330.41,,,,149911.0,10384.0,,0.0,,,33.62,,,,,,83.74,,967.54,1976.76,,,,143.052,2791.0,,421.05,352.63,120.169,,,,,,,,,280.31,28.55,637.13,855.84,,,15.52,,,,198.29,,2711.97,146.261,,,,,,142.95,525.43,10.69
1991 - 1992,All India,,,,,,23.51,,,490.78,,,,186518.0,16934.0,,0.0,,,47.03,,,,,,127.37,,1282.7,2585.49,,,,157.921,3024.0,,465.14,390.03,132.516,,,,,,,,,447.66,38.45,791.92,1422.63,,,22.5,,,,241.14,,3552.68,161.279,,,,,,169.45,931.85,14.94
1992 - 1993,All India,,,,,,27.36,,,607.45,,,,228692.0,18470.0,,65.0,,,71.15,,,,,,152.22,,1775.56,3245.06,,,,185.24,3487.0,,542.08,456.16,154.699,,,,,,,,,525.07,47.31,1168.11,1867.73,,,29.04,,,,325.48,,4530.09,188.312,,,,,,229.75,1260.28,19.95
1993 - 1994,All India,,,,,,41.2,,,1121.25,,,,249076.0,26224.0,,148.0,,,86.8,,,,,,183.27,,2862.17,4420.33,,,,252.991,4585.0,,763.85,627.0,213.819,,,,,,,,,714.27,69.16,1740.92,2948.61,,,48.19,,,,454.36,,6198.5,258.612,,,,,,324.38,1827.36,27.96
1994 - 1995,All India,,,,,,49.79,,,1832.38,,,,335712.0,41586.0,,9375.0,,,135.77,,,,,,244.06,,4119.33,5614.88,,,,295.596,5023.0,,869.54,741.59,251.079,,,,,,,,,1105.38,85.67,2286.95,4601.02,,,53.03,,,,602.31,,7885.75,301.019,,,,,,441.78,2768.64,35.88
1995 - 1996,All India,,,,,,67.93,,,2486.46,,,,,,,,,,173.48,,,,,,408.63,,5731.48,7859.33,,,,314.942,5019.0,,921.39,778.83,259.189,,,,,,,,,1724.45,114.96,3245.02,5681.23,,,81.96,,,,745.56,,10596.1,322.496,,,,,,529.67,3194.77,47.03
1996 - 1997,All India,,,,,,75.14,,,2666.94,,,,450116.0,77144.0,,10502.0,,,197.8,,,,,,472.44,,5884.92,7544.96,,,,327.247,5395.0,,969.46,818.97,276.168,,,,,,,,,1846.44,128.96,3217.98,6313.4,,,78.23,,,,860.97,,10305.22,331.765,,,,,,594.64,3646.46,53.82
1997 - 1998,All India,,,,,,,,,3275.96,,,,,,,,,,232.97,,,,,,509.74,,6781.17,8306.6,,,,328.687,4592.0,,,,277.49,,,,,,,,,2243.24,159.33,3505.21,7553.06,,,315.59,,,,960.07,,12549.89,331.762,,,,,,658.99,4277.1,
1998 - 1999,All India,,,,,,,,,2912.27,,,,,,,,,,279.1,,,,,,391.4,,6198.27,8603.56,,,,337.005,4870.0,,1000.11,,287.416,,0.0,,,,,,,1801.25,187.82,3285.99,7054.75,,,98.56,,,,997.83,,12967.09,337.005,,,,,,633.47,4142.48,
1999 - 2000,All India,,,,,,,,,4608.22,,,,,,,,,,412.09,,,,,,540.22,,8969.1,10685.35,,,,359.034,5076.0,,1072.14,,300.259,,143.0,,,,,,,2720.24,221.8,4360.88,9705.21,,,103.14,,,,1287.22,,16636.53,359.033,,,,,,820.54,5096.99,
2000 - 2001,All India,,,,,,,,,5427.67,,,,,,,,,,487.39,,,,,,599.56,,9663.85,12470.59,,,,416.052,5304.0,,1254.6,,352.972,,44.0,,,,,,,3165.27,291.45,4236.18,9728.15,,,118.4,,,,1579.41,,19170.09,418.535,,,,,,993.34,4300.48,
2001 - 2002,All India,,,,,,,,,4486.11,,,,,,,,,,450.82,,,,,,479.5,,8240.64,10657.6,,,,395.413,4971.0,,1176.79,,338.506,,7.0,,,,,,,3161.4,260.19,3754.52,8029.37,,,112.0,,,,1594.13,,16018.39,397.895,,,,,,1015.11,3543.26,
2002 - 2003,All India,,,,,,,,,5260.2,,,,,,,,,,590.68,,,,,,480.15,,9942.0,13941.51,,,,422.933,5168.0,,1265.26,,358.636,,12.0,,,,,,,3138.22,302.7,4681.8,10384.57,,,123.32,,,,1893.37,,21295.4,426.084,,,,,,1205.31,5124.37,
2003 - 2004,All India,,,,,,,,,6100.96,,,,,,,,,,658.15,,,,,,538.36,,11085.72,12902.84,,,,513.861,5261.0,,1529.7,,441.247,,0.0,,,,,,,3910.94,349.88,4984.75,9835.64,,,157.97,,,,2288.14,,20530.98,516.486,,,,,,1473.21,3734.68,
2004 - 2005,All India,,,,,,,,,7698.5,,,,,,,,,,847.83,,,,,,605.56,,14152.69,17271.61,,,,608.612,5657.0,,1828.78,,524.177,,0.0,,,,,,,5317.56,433.96,6454.2,12174.27,,,233.61,,,,2974.57,,27889.01,611.305,,,,,,1883.75,4475.77,
2005 - 2006,All India,,,,,,,,,9562.01,,,,,,,,,,1075.63,,,,,,758.87,,17085.13,20923.08,,,,712.919,5869.0,,2130.26,,614.157,,0.0,,,,,,,6269.22,530.22,7523.11,13862.52,,,275.88,,,,3729.57,,32709.42,715.92,,,,,,2358.46,4300.51,
2006 - 2007,All India,,,,,,,,,21836.74,,,,,,,,,,2068.7,,,,,,1601.58,,32616.84,33259.18,,,,873.132,6818.0,,2622.51,,744.679,,0.0,,,,,,,15932.28,700.8,10780.1,31325.89,,,360.98,,,,5009.71,,50615.46,876.646,,,,,,3099.13,9489.15,
2007 - 2008,All India,,,,,,,,,13032.65,,,,,,,,,,1343.28,,,,,,1268.62,,22927.06,23807.14,,,,815.861,5134.0,,2414.09,,686.369,,0.0,,,,,,,9434.65,663.22,9894.41,19334.16,,,509.03,,,,5090.87,,36693.82,818.139,,,,,,3111.28,6301.51,
2008 - 2009,All India,,,,,,,,,13156.82,,,,,,,,,,1173.49,,,,,,1508.87,,24377.33,26808.1,,,,795.313,5761.0,,2371.18,,679.807,,,,,,,,,9936.92,753.91,11220.52,22324.36,,,740.63,,,,5847.33,,41492.41,797.878,,,,,,3452.18,9167.54,
2009 - 2010,All India,,,,,,,,,14977.31,,,,,,,,,,1477.28,,,,,,1583.09,,28215.23,32679.22,,,,862.689,6144.0,,2585.29,,742.874,,,,,,,,,10525.07,754.09,13237.92,25439.8,,,752.7,,,,6672.84,,50222.36,865.062,,,,,,4052.12,10462.49,
2010 - 2011,All India,,,,,,,,,17207.81,,,,,,,,,,1617.48,,,,,,1771.15,,32897.46,40539.3,,,,870.915,9226.0,,2642.15,,744.52,,,,,,,,,13059.2,945.41,15689.65,31204.14,,,860.78,,,,8113.54,,61127.96,872.962,,,,,,4840.87,13996.33,
2011 - 2012,All India,,,,,,,,,16772.58,,,,,,,,,,1496.11,,,,,,2337.55,,32802.77,39952.22,,,,920.869,9168.0,,2682.89,,792.312,,,,,,,,,15434.32,1093.01,16030.19,31119.54,,,811.79,,,,8823.42,,60926.94,922.725,,,,,,5332.91,14346.96,
2012 - 2013,All India,,,,,,,,,24121.36,,,,,,,,,,1895.03,,,,,,2311.55,,43846.89,48095.3,,,,920.418,9275.0,,2749.07,,790.975,,,,,,,,,13230.98,1227.95,19725.53,38266.92,,,796.54,,,,10443.37,,71280.11,922.95,,,,,,6425.56,14145.56,
2013 - 2014,All India,,,,,,,,,19324.88,,,,,,,,,,2124.85,,,,,,2357.87,,39112.3,64275.01,,,,976.064,9525.0,,2944.06,,823.85,,,,,,,,,14635.09,1355.5,19787.41,35387.37,,,968.1,,,,12529.99,,100459.15,978.709,,,,,,7295.81,16062.49,
2014 - 2015,All India,,,,,,,,,20267.15,,,,,,,,,,2095.83,,,,,,2450.78,,38545.88,50388.98,,,,986.592,9856.0,,2971.25,,844.952,,,,,,,,,13748.19,1611.37,18278.75,33767.32,,,854.45,,,,13558.41,,77421.3,988.651,,,,,,8199.39,13500.17,
2015 - 2016,All India,,,,,,,,,24050.12,,,,,,,,,,2312.86,,,,,,2410.64,,45943.69,57461.83,,,,1080.792,10197.0,,3286.34,,926.637,,,,,,,,,14951.76,1918.23,21893.57,50396.02,,,1313.38,,,,16614.87,,92250.93,1083.149,,,,,,10074.52,26345.9,
2016 - 2017,All India,,,,,,,,,27994.18,,,,,,,,,,2409.59,,,,,,3053.88,,52735.26,60701.5,,,,1134.643,10049.0,,3446.12,,980.179,,,,,,,,,18002.45,2148.98,24741.08,42236.41,,,1290.07,,,,18856.22,,97054.34,1137.02,,,,,,11509.8,14242.23,
2017 - 2018,All India,,,,,,,,,28578.83,,,,,,,,,,2610.11,,,,,,3165.86,,55981.9,62201.92,,,,1187.081,10498.0,,3603.41,,1024.176,,,,,,,,,17703.01,2290.83,27403.08,48080.17,,,1331.62,,,,20997.61,,96891.21,1189.52,,,,,,12840.22,19501.34,
2018 - 2019,All India,,,,,,,,,31061.14,,,,,,,,,,2964.06,,,,,,3622.81,,59966.67,70028.24,,,,1195.044,11332.0,,3617.38,,1029.004,,,,,,,,,17684.35,2393.27,28905.53,54550.72,,,194.75,,,,22528.43,,114256.83,1197.318,,,,,,13727.36,23489.58,
2019 - 2020,All India,1424.81,974.79,323.83,2723.43,1182.55,,3336.84,167556.0,34416.68,97.0,50.0099,1899.003,,,2363452.0,,164.5632,686.6561,2800.23,7687.67,4964.24,40806.16,6024.01,16563.31,3351.16,437.66,65938.66,75686.78,1627.4,34009.84,37469.33,1258.587,11573.0,8598.0,3764.42,,1091.031,970350.0,,481291.0,489059.0,120681.0,,,92307.0,19081.52,2552.52,31521.98,58410.05,137108.26,7043.02,108.33,4.86,,75249.0,24414.29,26966.81,119557.22,1260.628,2040.0,160363.38,2633.68,5594.31,23231.75,15003.76,23993.37,
2020 - 2021,All India,-596.96,-127.45,39.26,-685.15,982.83,,3359.93,142530.0,32352.16,169.0,81.5228,1628.0609,,,1996585.0,,89.9601,579.0881,2378.6319,599.17,1284.32,32618.98,4036.79,17751.48,2970.81,464.95,62183.19,64445.85,-2075.61,26168.01,29259.05,1040.651,11825.0,8557.0,2880.79,,898.121,780676.0,,396394.0,384282.0,117446.0,,,80962.0,26046.59,1851.11,29831.03,59746.37,114575.48,5171.07,120.22,50.3,,61568.0,19145.84,20996.95,97816.2,1042.59,1939.0,130435.18,2157.79,4286.51,18163.01,11718.71,27394.21,
2021 - 2022,All India,2520.42,4607.38,1615.86,8743.66,1181.55,,3254.84,152654.0,34561.94,108.0,90.5622,2228.2961,,,2679081.0,,156.0499,837.2743,3312.1825,14632.02,5888.36,43233.59,7347.63,17631.99,2704.89,437.74,72378.61,96924.61,2633.52,37159.71,39978.75,1178.188,12163.0,9007.0,3495.51,,1025.534,904112.0,,481615.0,422497.0,121422.0,,,90137.0,29802.98,2419.08,37816.68,72705.41,167851.95,10282.79,114.14,27.88,,62517.0,24457.84,26876.92,145485.47,1180.573,2384.0,188719.06,2785.05,5454.96,23276.29,15036.28,38143.47,
2022 - 2023,All India,1742.61,-440.49,-186.53,1115.59,1364.64,,3771.63,171620.0,39349.98,90.0,77.6062,2410.7267,,,2803858.0,,255.0338,940.3784,3683.7452,8155.01,7039.42,54459.53,9726.43,19662.34,3381.92,559.96,79688.26,115761.22,3267.79,47185.81,50687.9,1318.129,12546.0,9122.0,4005.56,,1146.509,1009892.0,,529307.0,480585.0,136617.0,,,99949.0,33118.25,2980.03,40338.28,90787.87,200758.32,14630.09,120.17,4.2,,71671.0,29575.69,32555.72,171161.12,1320.172,2043.0,225620.65,3185.76,6938.3,28211.05,18086.99,51437.89,
2023 - 2024,All India,1027.3,2113.83,872.01,4013.13,1351.24,,5075.08,183170.0,51028.06,150.0,116.1314,3032.6033,,,3515629.0,,300.5672,996.0377,4445.34,12740.04,8726.91,,,,4253.1,677.91,97721.55,108750.39,3651.83,48390.72,52799.76,1337.014,12824.0,9759.0,4060.05,,1153.844,1013166.0,,536214.0,476952.0,140678.0,,,106657.0,41345.4,3276.01,,115881.64,195356.51,13553.69,155.95,51.95,,76513.0,31561.02,34837.03,162800.79,1338.856,1842.0,220675.64,3361.89,7997.58,30209.78,18850.31,64853.58,
