Date,Value_2016base
01-04-1994,20.17338613
01-05-1994,20.39836813
01-06-1994,20.77333813
01-07-1994,21.07331413
01-08-1994,21.29829614
01-09-1994,21.59827214
01-10-1994,21.67326614
01-11-1994,21.82325414
01-12-1994,21.67326614
01-01-1995,21.67326614
01-02-1995,21.82325414
01-03-1995,21.97324214
01-04-1995,22.12323014
01-05-1995,22.49820014
01-06-1995,22.94816415
01-07-1995,23.47312215
01-08-1995,23.62311015
01-09-1995,23.77309815
01-10-1995,23.92308615
01-11-1995,24.07307415
01-12-1995,23.77309815
01-01-1996,23.62311015
01-02-1996,23.69810415
01-03-1996,23.92308615
01-04-1996,24.29805616
01-05-1996,24.59803216
01-06-1996,24.97300216
01-07-1996,25.42296616
01-08-1996,25.72294216
01-09-1996,25.79793617
01-10-1996,25.94792417
01-11-1996,26.17290617
01-12-1996,26.24790017
01-01-1997,26.24790017
01-02-1997,26.24790017
01-03-1997,26.32289417
01-04-1997,26.54787617
01-05-1997,26.39788817
01-06-1997,26.62287017
01-07-1997,26.84785217
01-08-1997,26.92284617
01-09-1997,27.07283417
01-10-1997,27.37281018
01-11-1997,27.44780418
01-12-1997,27.89776818
01-01-1998,28.79769618
01-02-1998,28.64770818
01-03-1998,28.49772018
01-04-1998,28.72270218
01-05-1998,29.17266619
01-06-1998,29.92260619
01-07-1998,30.8225342
01-08-1998,30.9725222
01-09-1998,31.4974802
01-10-1998,32.47240221
01-11-1998,32.47240221
01-12-1998,32.17242621
01-01-1999,31.4974802
01-02-1999,31.1225102
01-03-1999,31.0475162
01-04-1999,31.1225102
01-05-1999,31.4224862
01-06-1999,31.4974802
01-07-1999,31.7974562
01-08-1999,31.9474442
01-09-1999,32.17242621
01-10-1999,32.77237821
01-11-1999,32.84737221
01-12-1999,32.32241421
01-01-2000,32.32241421
01-02-2000,32.24742021
01-03-2000,32.54739621
01-04-2000,32.84737221
01-05-2000,32.99736021
01-06-2000,33.14734821
01-07-2000,33.37233021
01-08-2000,33.22234221
01-09-2000,33.29733621
01-10-2000,33.67230622
01-11-2000,33.74730022
01-12-2000,33.44732421
01-01-2001,33.37233021
01-02-2001,33.22234221
01-03-2001,33.37233021
01-04-2001,33.59731222
01-05-2001,33.82229422
01-06-2001,34.27225822
01-07-2001,34.72222222
01-08-2001,34.94720422
01-09-2001,34.87221022
01-10-2001,35.09719222
01-11-2001,35.39716823
01-12-2001,35.17218623
01-01-2002,35.02219822
01-02-2002,34.94720422
01-03-2002,35.09719222
01-04-2002,35.17218623
01-05-2002,35.39716823
01-06-2002,35.69714423
01-07-2002,36.07211423
01-08-2002,36.29709623
01-09-2002,36.37209023
01-10-2002,36.52207823
01-11-2002,36.67206623
01-12-2002,36.29709623
01-01-2003,36.22210223
01-02-2003,36.29709623
01-03-2003,36.52207823
01-04-2003,36.97204224
01-05-2003,37.04703624
01-06-2003,37.27201824
01-07-2003,37.57199424
01-08-2003,37.42200624
01-09-2003,37.42200624
01-10-2003,37.72198224
01-11-2003,37.79697624
