Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
2004 - 2005,Kerala,-60.0,5297.0,6.0,5243.0,126.0,352.0,435.0,2661.0,0.0,0.0,237.6,5780.0,79.33,58.42,375.0,5590.0,346.0,3576.0,335.0,2782.0,182.0,0.0,9411.0,7392.0,-6.0,2962.0,3224.0,4535.0,35.0,35.0,1355.0,4100.0,4100.0,0.0,905.0,3195.0,0.0,218.0,2604.0,285.0,6750.0,5225.0,10802.0,669.0,79.0,0.0,217.0,2009.0,9201.0,4544.0,9.0,12777.0,103.0,280.0,1884.0,1501.0,2564.0
2004 - 2005,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Madhya Pradesh,213.0,243.0,334.0,790.0,31.0,136.0,268.0,2027.0,0.0,0.17,115.83,2177.0,0.0,46.87,163.0,880.0,90.0,1361.0,198.0,1639.0,423.0,20.0,5224.0,2323.0,-46.0,789.0,1225.0,1254.0,18.0,16.0,382.0,986.0,923.0,0.0,680.0,243.0,63.0,135.0,1735.0,79.0,3197.0,3275.0,4157.0,64.0,13.0,1.0,133.0,647.0,4797.0,1258.0,6.0,6158.0,99.0,180.0,615.0,336.0,1248.0
2004 - 2005,Maharashtra,1238.0,1838.0,2771.0,5847.0,1110.0,11458.0,5770.0,82663.0,5.0,183.53,4979.57,108733.0,834.04,1861.84,7859.0,23032.0,17185.0,48654.0,20860.0,71497.0,5914.0,287.0,130120.0,116362.0,5727.0,29886.0,37194.0,27550.0,644.0,614.0,8372.0,21780.0,15926.0,0.0,11907.0,4019.0,5855.0,3442.0,58626.0,3184.0,47457.0,103236.0,196151.0,5904.0,1395.0,404.0,2328.0,20798.0,198925.0,27943.0,393.0,247579.0,3090.0,4853.0,19689.0,11746.0,20573.0
2004 - 2005,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Orissa,-4.0,0.0,0.0,-4.0,0.0,5.0,21.0,38.0,0.0,0.0,2.71,65.0,0.0,1.1,4.0,,3.0,29.0,3.0,41.0,19.0,0.0,90.0,84.0,-1.0,3.0,24.0,92.0,3.0,3.0,27.0,71.0,24.0,0.0,18.0,6.0,47.0,11.0,106.0,2.0,51.0,66.0,108.0,-24.0,2.0,0.0,10.0,25.0,100.0,93.0,1.0,129.0,5.0,8.0,26.0,13.0,28.0
2004 - 2005,Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Punjab,98.0,3025.0,476.0,3599.0,842.0,7302.0,4719.0,42617.0,3.0,114.13,3391.63,82225.0,469.16,1783.15,5758.0,15311.0,11713.0,43046.0,12635.0,28091.0,4750.0,425.0,91952.0,136275.0,4411.0,30135.0,35744.0,30309.0,452.0,432.0,9217.0,25590.0,22557.0,0.0,22215.0,342.0,3033.0,3711.0,29655.0,1412.0,49335.0,104810.0,208883.0,10834.0,859.0,402.0,1008.0,17888.0,190669.0,30557.0,250.0,233715.0,2401.0,1508.0,17045.0,13136.0,62193.0
2004 - 2005,Rajasthan,326.0,1857.0,810.0,2993.0,86.0,1481.0,1328.0,12852.0,1.0,24.98,731.41,15196.0,9.44,223.32,989.0,5366.0,2374.0,8442.0,3008.0,4731.0,1317.0,49.0,27906.0,23929.0,893.0,5479.0,6961.0,6971.0,110.0,101.0,2138.0,5643.0,3759.0,0.0,2914.0,845.0,1884.0,912.0,7146.0,367.0,15053.0,24413.0,42898.0,1839.0,164.0,283.0,416.0,3274.0,37366.0,6982.0,11.0,45808.0,469.0,448.0,3188.0,2271.0,11561.0
2004 - 2005,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Tamil Nadu,7391.0,9655.0,8967.0,26013.0,7497.0,37166.0,27568.0,250848.0,0.0,0.0,14944.98,313872.0,2784.48,8387.33,26117.0,107272.0,81260.0,216473.0,85582.0,65147.0,21149.0,1868.0,425680.0,634357.0,44094.0,152934.0,179305.0,224609.0,2334.0,2187.0,67622.0,197041.0,183983.0,0.0,68953.0,115030.0,13058.0,15968.0,164883.0,13681.0,174831.0,350088.0,1101787.0,52507.0,5221.0,631.0,11600.0,86746.0,1072239.0,225783.0,1174.0,1288712.0,8593.0,12183.0,79250.0,58474.0,99240.0
2004 - 2005,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 - 2005,Uttar Pradesh,3678.0,2153.0,1871.0,7702.0,598.0,4813.0,4328.0,54003.0,4.0,45.0,2601.81,49160.0,106.4,1827.37,4581.0,21381.0,13678.0,37053.0,15589.0,28897.0,2275.0,81.0,88778.0,104752.0,8866.0,28283.0,32240.0,27845.0,302.0,296.0,8162.0,23517.0,16850.0,0.0,14468.0,2382.0,6667.0,2164.0,29049.0,2070.0,34775.0,85016.0,174589.0,11111.0,1681.0,108.0,2164.0,15103.0,152872.0,28042.0,196.0,189925.0,1628.0,3307.0,14506.0,9571.0,31013.0
2004 - 2005,Uttarakhand,68.0,14.0,36.0,118.0,4.0,144.0,156.0,902.0,0.0,0.0,71.27,1610.0,0.0,11.66,83.0,416.0,298.0,1304.0,313.0,209.0,148.0,6.0,1876.0,1773.0,154.0,970.0,1160.0,912.0,5.0,5.0,229.0,756.0,197.0,0.0,182.0,15.0,559.0,71.0,500.0,27.0,974.0,1311.0,2985.0,209.0,41.0,0.0,85.0,734.0,3009.0,912.0,0.0,4313.0,45.0,226.0,730.0,459.0,409.0
2004 - 2005,West Bengal,-124.0,613.0,261.0,750.0,130.0,626.0,663.0,7358.0,3.0,83.51,555.47,11100.0,967.43,126.76,1733.0,981.0,231.0,3990.0,315.0,8754.0,967.0,222.0,11173.0,11363.0,-394.0,2331.0,3364.0,2529.0,64.0,64.0,778.0,1866.0,1716.0,0.0,1633.0,83.0,151.0,420.0,3914.0,346.0,3815.0,9693.0,14234.0,282.0,66.0,13.0,243.0,1702.0,16392.0,2538.0,9.0,20382.0,304.0,362.0,1571.0,905.0,2335.0
2005 - 2006,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Andhra Pradesh,240.0,429.0,301.0,970.0,126.0,872.0,822.0,11936.0,0.0,6.93,279.21,6158.0,8.27,188.99,484.0,4081.0,3110.0,4287.0,3418.0,9291.0,934.0,40.0,18025.0,10533.0,2238.0,2378.0,3415.0,6030.0,53.0,47.0,1861.0,5208.0,4857.0,0.0,2281.0,2576.0,351.0,474.0,12823.0,411.0,6089.0,14855.0,17093.0,-738.0,102.0,7.0,348.0,2705.0,21926.0,6059.0,30.0,26213.0,289.0,407.0,2578.0,1882.0,2919.0
2005 - 2006,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Dadra & Nagar Haveli,2.0,31.0,29.0,62.0,18.0,314.0,107.0,2430.0,0.0,0.0,142.72,4815.0,0.0,31.52,175.0,278.0,216.0,1403.0,347.0,3859.0,42.0,1.0,3084.0,4297.0,-97.0,1006.0,1090.0,517.0,16.0,16.0,129.0,410.0,249.0,0.0,236.0,13.0,161.0,45.0,1881.0,16.0,655.0,3344.0,6207.0,731.0,42.0,3.0,62.0,259.0,5095.0,524.0,7.0,6498.0,25.0,84.0,240.0,131.0,914.0
2005 - 2006,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Daman & Diu,7449.0,4416.0,944.0,12809.0,282.0,1590.0,1396.0,15530.0,0.0,0.0,510.13,18822.0,145.38,108.44,764.0,20900.0,8091.0,18707.0,9981.0,3219.0,1407.0,137.0,47819.0,43951.0,6500.0,14046.0,17116.0,5145.0,32.0,29.0,1546.0,3749.0,3585.0,0.0,2688.0,897.0,165.0,933.0,13897.0,378.0,32290.0,45708.0,68472.0,9465.0,1663.0,9.0,463.0,4203.0,74775.0,5150.0,5.0,93482.0,1083.0,1111.0,3922.0,1728.0,30178.0
2005 - 2006,Delhi,4168.0,-166.0,3538.0,7540.0,1690.0,6905.0,9079.0,50092.0,0.0,0.0,6297.59,123100.0,2.47,4387.04,10687.0,16548.0,9008.0,79044.0,11205.0,19872.0,7689.0,335.0,151709.0,226877.0,2103.0,60900.0,72140.0,40044.0,561.0,510.0,12041.0,30965.0,27242.0,0.0,24095.0,3147.0,3723.0,5055.0,48141.0,5023.0,101616.0,129847.0,430597.0,26599.0,3551.0,471.0,4024.0,29278.0,399710.0,40302.0,257.0,478754.0,4623.0,8510.0,27587.0,14454.0,79755.0
2005 - 2006,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Gujarat,1398.0,-1482.0,783.0,699.0,530.0,2047.0,1884.0,21366.0,15.0,387.28,1364.81,26232.0,291.59,660.11,2703.0,2536.0,1837.0,14924.0,2001.0,18779.0,805.0,40.0,35261.0,36765.0,-209.0,11735.0,12877.0,11941.0,173.0,163.0,3721.0,10057.0,7899.0,0.0,5374.0,2525.0,2158.0,869.0,13382.0,1418.0,13895.0,33041.0,55745.0,2879.0,337.0,177.0,1015.0,7438.0,55054.0,12037.0,95.0,69978.0,817.0,1760.0,6908.0,4331.0,11675.0
2005 - 2006,Haryana,9790.0,16013.0,8415.0,34218.0,1909.0,14319.0,10997.0,145567.0,2.0,63.35,8654.0,198384.0,1216.57,9114.04,19049.0,67235.0,33018.0,107077.0,39551.0,76910.0,10005.0,272.0,267443.0,274601.0,18698.0,78804.0,92758.0,74728.0,245.0,243.0,22573.0,63731.0,37863.0,0.0,34628.0,3235.0,25867.0,5386.0,73388.0,5846.0,121875.0,214508.0,488946.0,26133.0,3949.0,400.0,5611.0,46826.0,426189.0,74744.0,17.0,533266.0,4632.0,14023.0,44918.0,26263.0,68941.0
2005 - 2006,Himachal Pradesh,562.0,-248.0,-244.0,70.0,4.0,38.0,21.0,408.0,0.0,0.0,19.57,588.0,0.0,31.12,51.0,234.0,164.0,2625.0,164.0,62.0,118.0,0.0,2000.0,3158.0,126.0,2468.0,2588.0,256.0,4.0,4.0,78.0,235.0,218.0,0.0,175.0,43.0,17.0,15.0,236.0,10.0,1591.0,9501.0,5885.0,2326.0,1.0,0.0,6.0,131.0,4106.0,257.0,1.0,6731.0,8.0,7.0,127.0,112.0,9093.0
2005 - 2006,Jammu & Kashmir,279.0,197.0,141.0,617.0,35.0,259.0,206.0,2354.0,0.0,0.0,64.89,3199.0,80.48,135.48,281.0,1393.0,777.0,1975.0,1385.0,3194.0,185.0,0.0,4200.0,2841.0,518.0,1491.0,1716.0,1672.0,9.0,9.0,509.0,1466.0,925.0,0.0,903.0,22.0,541.0,154.0,1959.0,231.0,1846.0,3892.0,5704.0,-4.0,40.0,11.0,52.0,1264.0,3944.0,1673.0,1.0,5919.0,162.0,123.0,1229.0,944.0,1538.0
2005 - 2006,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Karnataka,2913.0,5486.0,4199.0,12598.0,5416.0,14368.0,19756.0,134057.0,16.0,556.28,7919.91,146650.0,605.0,5729.44,14810.0,63082.0,50485.0,138292.0,57158.0,103861.0,7258.0,491.0,213506.0,223361.0,36117.0,110077.0,123924.0,197450.0,614.0,597.0,58631.0,177694.0,177369.0,0.0,48924.0,128445.0,325.0,8933.0,85871.0,15326.0,79451.0,178034.0,346363.0,2581.0,6590.0,273.0,10823.0,92169.0,339343.0,197563.0,113.0,477635.0,6651.0,15164.0,86752.0,64937.0,43977.0
2005 - 2006,Kerala,116.0,555.0,-48.0,623.0,161.0,333.0,708.0,4001.0,0.0,0.0,225.79,5332.0,43.28,69.49,338.0,1889.0,1264.0,5389.0,1304.0,3195.0,267.0,2.0,6657.0,10979.0,932.0,4688.0,5057.0,4721.0,35.0,35.0,1430.0,4013.0,4001.0,0.0,1166.0,2835.0,12.0,437.0,2584.0,239.0,2656.0,3581.0,15590.0,1580.0,101.0,0.0,271.0,2871.0,15411.0,4733.0,11.0,20800.0,385.0,360.0,2709.0,1964.0,-420.0
2005 - 2006,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Madhya Pradesh,1764.0,540.0,825.0,1540.0,472.0,141.0,324.0,2518.0,0.0,0.0,276.12,5479.0,0.0,36.71,312.0,1764.0,224.0,2366.0,218.0,1974.0,522.0,7.0,7622.0,6600.0,84.0,1682.0,2225.0,2379.0,22.0,22.0,782.0,2055.0,1724.0,0.0,1465.0,259.0,331.0,178.0,2689.0,126.0,5103.0,5821.0,9789.0,-140.0,21.0,1.0,146.0,1695.0,9408.0,2385.0,5.0,11774.0,153.0,234.0,1224.0,837.0,3303.0
2005 - 2006,Maharashtra,3231.0,2362.0,2808.0,8401.0,1171.0,10543.0,7146.0,81792.0,15.0,392.67,4867.55,115315.0,794.95,3248.19,9304.0,29527.0,21127.0,62294.0,26154.0,68014.0,5812.0,272.0,128269.0,168207.0,10584.0,43534.0,51751.0,29834.0,612.0,573.0,8849.0,22688.0,13944.0,0.0,11455.0,2489.0,8745.0,4148.0,55161.0,2872.0,46476.0,64373.0,278849.0,15386.0,2406.0,492.0,2998.0,25274.0,262489.0,30215.0,380.0,324783.0,3497.0,6993.0,24105.0,13615.0,-17419.0
2005 - 2006,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Orissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Punjab,2433.0,-162.0,1369.0,3640.0,1374.0,7336.0,5357.0,56844.0,5.0,139.37,5679.86,137979.0,2274.4,2097.97,10192.0,17187.0,13546.0,44925.0,17309.0,40899.0,6271.0,632.0,115294.0,199181.0,6209.0,30456.0,37589.0,32484.0,510.0,493.0,9878.0,27127.0,26485.0,0.0,25613.0,872.0,642.0,4010.0,40948.0,1585.0,58450.0,127764.0,272906.0,7245.0,862.0,152.0,1347.0,21628.0,245538.0,32863.0,378.0,290463.0,2910.0,2074.0,20254.0,15270.0,70920.0
2005 - 2006,Rajasthan,2639.0,2253.0,343.0,5235.0,123.0,1894.0,1743.0,20183.0,0.0,26.6,879.1,17658.0,40.95,433.43,1380.0,10231.0,4997.0,16497.0,5552.0,6691.0,1255.0,221.0,36886.0,35079.0,3102.0,13077.0,14602.0,11006.0,107.0,107.0,3286.0,9263.0,3312.0,0.0,2660.0,652.0,5951.0,1060.0,10892.0,378.0,16703.0,31794.0,72817.0,6506.0,269.0,35.0,683.0,6193.0,60942.0,11036.0,30.0,77439.0,804.0,813.0,6071.0,4454.0,11611.0
2005 - 2006,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Tamil Nadu,8298.0,22454.0,8045.0,38797.0,8464.0,35992.0,31803.0,336655.0,0.0,0.0,16451.27,339000.0,3234.61,8993.39,28679.0,162600.0,123802.0,255427.0,126311.0,122934.0,27881.0,1719.0,546325.0,673249.0,87811.0,186036.0,219436.0,251269.0,2361.0,2244.0,75038.0,219466.0,199589.0,0.0,75799.0,123790.0,19877.0,18276.0,215536.0,16354.0,209669.0,410348.0,1132691.0,65950.0,5518.0,1156.0,13527.0,103732.0,1078887.0,252645.0,1377.0,1334314.0,10439.0,16214.0,95267.0,68614.0,73693.0
2005 - 2006,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 - 2006,Uttar Pradesh,2224.0,5189.0,2624.0,10037.0,892.0,5616.0,6622.0,63637.0,0.0,36.02,3743.3,70684.0,36.0,3872.38,7688.0,25921.0,15883.0,52782.0,16976.0,27820.0,4192.0,348.0,108114.0,146063.0,10267.0,41103.0,47166.0,40045.0,423.0,410.0,11640.0,33423.0,21887.0,0.0,19771.0,2116.0,11536.0,3246.0,41733.0,2437.0,44477.0,94221.0,265757.0,13490.0,1873.0,374.0,3376.0,25175.0,231264.0,40301.0,256.0,284046.0,2864.0,6286.0,24281.0,15131.0,30584.0
2005 - 2006,Uttarakhand,95.0,10.0,160.0,265.0,3.0,95.0,79.0,828.0,0.0,0.0,57.74,1725.0,0.0,35.28,93.0,553.0,288.0,950.0,312.0,145.0,127.0,0.0,1446.0,1777.0,193.0,718.0,855.0,364.0,5.0,5.0,110.0,285.0,164.0,0.0,164.0,0.0,121.0,46.0,430.0,21.0,618.0,2405.0,3400.0,499.0,10.0,0.0,33.0,198.0,2504.0,365.0,1.0,3454.0,26.0,50.0,194.0,118.0,1577.0
2005 - 2006,West Bengal,517.0,1370.0,1201.0,3088.0,130.0,528.0,641.0,5724.0,3.0,98.6,342.76,6931.0,0.0,106.38,548.0,4269.0,1181.0,5286.0,1192.0,4491.0,1083.0,146.0,14348.0,24150.0,653.0,3428.0,4757.0,2430.0,74.0,65.0,755.0,1789.0,1547.0,0.0,1497.0,50.0,243.0,409.0,5000.0,327.0,8624.0,12108.0,33802.0,1390.0,247.0,17.0,232.0,1710.0,33596.0,2463.0,32.0,38882.0,256.0,412.0,1580.0,912.0,6384.0
2006 - 2007,Andaman & Nicobar Islands,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Andhra Pradesh,769.0,2007.0,24.0,2800.0,158.0,1423.0,1465.0,26941.0,0.0,0.0,417.41,9741.0,37.33,235.22,690.0,13624.0,10825.0,4912.0,19308.0,19803.0,1243.0,31.0,35051.0,13319.0,9401.0,1972.0,3488.0,10216.0,68.0,68.0,2779.0,8751.0,8082.0,0.0,1973.0,6109.0,670.0,896.0,22231.0,753.0,8109.0,28767.0,18352.0,-3244.0,272.0,0.0,569.0,4462.0,27429.0,10251.0,34.0,32341.0,602.0,782.0,4305.0,2921.0,1826.0
2006 - 2007,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Assam,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Bihar,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Chandigarh,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Chhattisgarh,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Dadra & Nagar Haveli,352.0,176.0,690.0,1218.0,29.0,422.0,320.0,13135.0,0.0,0.0,270.28,9414.0,0.47,44.52,316.0,5216.0,3998.0,1543.0,5372.0,3833.0,373.0,5.0,15218.0,9650.0,3576.0,603.0,1122.0,1966.0,24.0,23.0,574.0,1646.0,1227.0,0.0,731.0,496.0,420.0,160.0,10462.0,113.0,2083.0,14476.0,12088.0,-318.0,146.0,15.0,160.0,807.0,11614.0,1976.0,9.0,13157.0,93.0,182.0,779.0,504.0,1341.0
2006 - 2007,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Daman & Diu,-3923.0,6339.0,1364.0,3780.0,515.0,793.0,1183.0,16811.0,0.0,0.0,405.29,8164.0,166.05,51.69,623.0,11828.0,8046.0,54582.0,10385.0,4648.0,2222.0,7.0,59327.0,53765.0,7253.0,51387.0,53788.0,7041.0,28.0,26.0,2132.0,5858.0,5505.0,0.0,4224.0,1281.0,353.0,731.0,15711.0,561.0,42516.0,52017.0,117799.0,45600.0,179.0,149.0,452.0,5225.0,66002.0,7046.0,5.0,120584.0,624.0,1582.0,4710.0,2504.0,35206.0
2006 - 2007,Delhi,1961.0,61.0,89.0,2111.0,1874.0,6333.0,9945.0,54427.0,0.0,0.0,5630.05,107892.0,0.0,3727.14,9357.0,13879.0,11768.0,67996.0,15051.0,17726.0,7585.0,225.0,133292.0,194673.0,5435.0,50301.0,61664.0,39706.0,557.0,491.0,11768.0,29761.0,28123.0,0.0,25268.0,2855.0,1638.0,6095.0,88859.0,4835.0,78865.0,119589.0,366381.0,12889.0,3777.0,1286.0,3850.0,32576.0,337511.0,39979.0,273.0,405507.0,6659.0,8982.0,30703.0,15062.0,65162.0
2006 - 2007,Goa,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Gujarat,854.0,1890.0,357.0,3101.0,527.0,3044.0,1578.0,29431.0,4.0,86.15,1415.12,26865.0,370.35,474.59,2346.0,7974.0,4874.0,24069.0,6224.0,22361.0,1302.0,246.0,49067.0,54951.0,1829.0,18433.0,21025.0,12093.0,138.0,132.0,3705.0,10515.0,7089.0,0.0,4971.0,2118.0,3426.0,754.0,22041.0,1425.0,19636.0,50337.0,94717.0,10055.0,1289.0,236.0,824.0,6954.0,86242.0,12181.0,87.0,110311.0,673.0,1377.0,6428.0,4378.0,20906.0
2006 - 2007,Haryana,20211.0,12283.0,12371.0,44865.0,1849.0,14543.0,11124.0,159659.0,2.0,110.36,6996.81,157595.0,1649.12,9180.48,17936.0,84522.0,39656.0,116649.0,48056.0,95869.0,12979.0,159.0,324879.0,286008.0,25113.0,82747.0,102107.0,73654.0,299.0,298.0,22330.0,62530.0,36083.0,0.0,31250.0,4833.0,26447.0,5841.0,88993.0,6097.0,165221.0,229598.0,511432.0,26268.0,6381.0,1219.0,5283.0,50382.0,438084.0,73674.0,21.0,554733.0,5453.0,15064.0,48531.0,28014.0,69939.0
2006 - 2007,Himachal Pradesh,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Jammu & Kashmir,-951.0,-86.0,-147.0,-1184.0,16.0,265.0,210.0,2066.0,0.0,0.0,50.79,2531.0,32.32,64.72,148.0,-1280.0,-95.0,456.0,61.0,3013.0,298.0,1.0,2752.0,1831.0,-360.0,-181.0,191.0,1512.0,10.0,10.0,304.0,1302.0,865.0,0.0,842.0,23.0,437.0,142.0,1180.0,2294.0,686.0,2753.0,2620.0,-3361.0,73.0,0.0,68.0,886.0,2264.0,1517.0,5.0,2720.0,130.0,107.0,870.0,633.0,687.0
2006 - 2007,Jharkhand,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Karnataka,8238.0,17826.0,4304.0,30368.0,8175.0,16960.0,21925.0,170438.0,0.0,0.0,9944.43,182744.0,1388.62,4973.97,16308.0,92446.0,62078.0,240756.0,65342.0,106444.0,11704.0,1028.0,300544.0,332148.0,45117.0,203296.0,223797.0,223485.0,592.0,586.0,66967.0,201560.0,200438.0,0.0,51961.0,148477.0,1122.0,9894.0,181214.0,18590.0,130107.0,226414.0,624262.0,60572.0,8797.0,593.0,12031.0,124134.0,507641.0,223607.0,123.0,748397.0,8422.0,21579.0,115961.0,85960.0,55976.0
