Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
1980 - 1981,Rajasthan,14.27,-5.5,1.89,10.67,,3.23,,29.66,,,,,,,7.93,15.29,4.63,74.24,,,7.57,,93.51,197.52,1.39,61.74,71.01,732.0,21.0,,218.0,653.0,,,,,,,68.92,3.41,63.85,74.34,274.15,18.88,1.71,,,39.44,395.4,748.0,,469.64,,,,32.1,44.68
1980 - 1981,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Tamil Nadu,68.94,37.0,12.83,118.77,,78.43,,643.38,,,,,,,48.6,258.69,139.92,953.27,,,188.24,,1697.09,4087.7,61.51,647.43,874.86,13061.0,371.0,,3665.0,11333.0,,,,,,,1804.38,40.0,1053.71,1604.45,5646.81,100.2,39.2,,,507.23,6017.23,13337.0,,6970.5,,,,288.78,961.07
1980 - 1981,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Tripura,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1980 - 1981,Uttar Pradesh,-16.27,-29.83,-16.4,-62.51,,20.7,,244.67,,,,,,,19.21,-48.01,14.47,150.04,,,34.9,,311.27,701.35,-6.23,92.57,129.35,1672.0,24.0,,485.0,1354.0,,,,,,,413.88,4.84,66.6,304.0,1058.12,11.94,1.89,,,75.79,988.71,1681.0,,1138.75,,,,45.79,59.33
1980 - 1981,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,West Bengal,39.28,37.66,-11.26,65.69,,20.01,,142.69,,,,,,,22.83,111.98,46.28,323.18,,,51.96,,582.09,1692.03,26.27,234.6,303.18,3196.0,99.0,,853.0,2291.0,,,,,,,456.81,14.73,439.4,417.31,2338.39,68.03,16.62,,,151.84,2319.36,3304.0,,2642.54,,,,94.23,274.62
1981 - 1982,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Andhra Pradesh,0.4,-0.1,0.0,0.3,,0.42,,4.8,,,,,,,0.24,0.31,0.01,7.17,,,0.69,,8.16,9.6,-0.41,4.69,6.75,183.0,9.0,,46.0,168.0,,,,,,,6.8,0.0,3.36,4.33,11.55,-0.11,1.37,,,4.8,10.96,195.0,,18.13,,,,4.3,-0.47
1981 - 1982,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Assam,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1981 - 1982,Bihar,-7.11,-9.12,1.1,-15.13,,0.36,,3.49,,,,,,,3.83,-14.93,0.2,11.32,,,0.06,,22.34,47.16,-0.16,10.76,10.96,474.0,5.0,,139.0,408.0,,,,,,,0.74,0.49,18.85,10.08,59.27,5.52,0.14,,,4.75,55.4,476.0,,66.72,,,,0.86,6.59
1981 - 1982,Chandigarh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Delhi,78.24,128.98,34.96,242.17,,102.39,,879.24,,,,,,,104.41,558.45,316.28,2076.39,,,428.36,,2677.32,7278.96,213.89,1431.12,1973.99,10055.0,281.0,,3045.0,7804.0,,,,,,,2522.51,105.15,1798.08,1846.43,12579.69,589.48,114.52,,,736.48,13761.24,10352.0,,15837.63,,,,488.79,967.19
1981 - 1982,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
